002126.SZ,银轮股份,13.88,1.685,a股
002127.SZ,南极电商,14.43,-6.116,a股
002128.SZ,露天煤业,11.37,4.986,a股
002129.SZ,中环股份,27.89,4.067,a股
002131.SZ,利欧股份,3.05,1.329,a股
002130.SZ,沃尔核材,5.5,2.421,a股
002132.SZ,恒星科技,3.63,3.419,a股
002133.SZ,广宇集团,3.04,0.33,a股
002135.SZ,东南网架,6.69,0.753,a股
002134.SZ,天津普林,8.62,0.116,a股
002136.SZ,安纳达,9.18,2.227,a股
002137.SZ,麦达数字,6.06,0.665,a股
002138.SZ,顺络电子,24.19,-1.306,a股
002140.SZ,东华科技,6.81,2.715,a股
002141.SZ,贤丰控股,2.7,7.57,a股
002145.SZ,中核钛白,5.44,1.115,a股
002144.SZ,宏达高科,12.89,0.078,a股
002142.SZ,宁波银行,34.27,0.117,a股
002147.SZ,*ST新光,1.12,-0.885,a股
002148.SZ,北纬科技,4.28,0.706,a股
002149.SZ,西部材料,17.06,-1.558,a股
002150.SZ,通润装备,6.35,1.6,a股
002151.SZ,北斗星通,51.94,-1.982,a股
002152.SZ,广电运通,10.32,1.876,a股
002154.SZ,报喜鸟,3.35,-0.298,a股
002153.SZ,石基信息,32.1,2.687,a股
002155.SZ,湖南黄金,8.5,2.164,a股
002156.SZ,通富微电,24.96,-0.12,a股
002157.SZ,正邦科技,16.37,-1.623,a股
002159.SZ,三特索道,12.07,-1.147,a股
002160.SZ,常铝股份,4.92,10.067,a股
002162.SZ,悦心健康,3.98,-0.748,a股
002164.SZ,宁波东力,6.03,3.787,a股
002165.SZ,红宝丽,5.48,1.107,a股
002166.SZ,莱茵生物,9.27,0.433,a股
002167.SZ,东方锆业,5.7,4.779,a股
002168.SZ,惠程科技,4.07,-1.691,a股
002169.SZ,智光电气,7.31,-1.083,a股
002170.SZ,芭田股份,4.46,0.905,a股
002171.SZ,楚江新材,8.51,-0.931,a股
002172.SZ,澳洋健康,3,0.671,a股
002173.SZ,创新医疗,5.71,1.601,a股
002174.SZ,游族网络,13.3,0.681,a股
002176.SZ,*ST江特,3.75,-1.316,a股
002177.SZ,御银股份,4.57,2.009,a股
